Year,GP,Driver,Rival,Gap_To_Ahead,Rival_Tyre_Age,Pace_Delta,Pit_Aggressiveness,Is_Traffic,InLap_Sec,OutLap_Sec,is_undercut,undercut_successful
2022,Spanish Grand Prix,RUS,PER,0.356,16.0,3.0420000000000016,23.42307692307692,0,105.382,87.631,1,1
2022,Spanish Grand Prix,RUS,VER,3.2560000000000002,11.0,5.378,-14.576923076923077,0,104.507,86.839,0,0
2022,Spanish Grand Prix,RUS,PER,13.216,14.0,3.290999999999997,-29.576923076923077,0,103.495,84.636,1,0
2022,Spanish Grand Prix,SAI,TSU,4.445,10.0,3.8130000000000024,26.42307692307692,0,105.81,87.632,1,1
2022,Spanish Grand Prix,SAI,BOT,12.519,17.0,3.450000000000003,-9.576923076923077,0,105.94,86.673,1,0
2022,Spanish Grand Prix,SAI,BOT,5.212,11.0,3.546999999999997,-23.576923076923077,0,104.598,86.345,0,0
2022,Spanish Grand Prix,HAM,LAT,14.635,1.0,14.635000000000005,20.423076923076923,0,115.134,87.495,0,0
2022,Spanish Grand Prix,HAM,STR,2.57,11.0,4.283000000000001,14.42307692307692,0,105.871,87.98,1,1
2022,Spanish Grand Prix,HAM,BOT,9.273,14.0,2.5519999999999925,-26.576923076923077,1,103.326,85.106,0,0
2022,Spanish Grand Prix,BOT,PER,9.771,17.0,4.054999999999993,22.42307692307692,1,107.922,88.392,1,0
2022,Spanish Grand Prix,BOT,VER,12.187,9.0,5.703000000000003,-12.576923076923077,0,106.198,86.395,0,0
2022,Spanish Grand Prix,OCO,BOT,8.505,16.0,4.128,23.42307692307692,0,106.958,88.845,1,0
2022,Spanish Grand Prix,OCO,SAI,0.948,4.0,6.399000000000001,-13.576923076923077,1,106.285,87.027,0,0
2022,Spanish Grand Prix,OCO,HAM,10.628,7.0,6.425999999999988,-15.57692307692308,1,104.279,85.935,0,0
2022,Spanish Grand Prix,NOR,OCO,8.381,12.0,2.9579999999999984,24.42307692307692,1,107.09,90.999,1,0
2022,Spanish Grand Prix,NOR,OCO,7.969,20.0,3.055000000000007,-11.576923076923077,1,109.283,88.724,1,0
2022,Spanish Grand Prix,NOR,OCO,10.592,19.0,2.736000000000004,-14.57692307692308,1,104.828,85.619,1,0
2022,Spanish Grand Prix,ALO,VET,0.146,13.0,3.1680000000000064,26.42307692307692,0,107.116,88.932,0,0
2022,Spanish Grand Prix,ALO,TSU,7.921,20.0,4.213999999999999,-9.576923076923077,0,105.671,87.707,1,0
2022,Spanish Grand Prix,ALO,HAM,24.445,8.0,6.733999999999995,-16.57692307692308,1,108.172,86.819,0,0
2022,Spanish Grand Prix,TSU,MSC,4.497,13.0,2.8249999999999886,25.42307692307692,1,108.5,88.956,1,1
2022,Spanish Grand Prix,TSU,SAI,3.238,1.0,-12.501999999999995,-10.576923076923077,0,107.423,89.888,0,0
2022,Spanish Grand Prix,TSU,ALO,10.406,21.0,4.751000000000005,-15.57692307692308,1,105.466,87.131,1,0
2022,Spanish Grand Prix,VET,TSU,1.8090000000000002,10.0,4.858999999999995,15.42307692307692,0,107.632,89.014,0,0
2022,Spanish Grand Prix,VET,TSU,2.302,13.0,4.802999999999997,-5.57692307692308,1,107.252,87.857,0,0
2022,Spanish Grand Prix,RIC,TSU,1.677,11.0,1.9350000000000023,25.42307692307692,1,107.813,89.034,0,0
2022,Spanish Grand Prix,RIC,HAM,3.521,9.0,6.787999999999997,5.42307692307692,0,107.364,88.741,0,0
2022,Spanish Grand Prix,RIC,VET,1.054,7.0,4.481999999999999,-26.576923076923077,0,107.158,87.636,0,0
2022,Spanish Grand Prix,GAS,ALO,2.8129999999999997,10.0,0.9759999999999991,26.42307692307692,0,106.89,89.513,0,0
2022,Spanish Grand Prix,GAS,HAM,3.068,7.0,6.787000000000006,-7.576923076923077,0,112.145,88.16,0,0
2022,Spanish Grand Prix,GAS,VET,6.993,5.0,4.957999999999998,-9.57692307692308,1,106.282,87.003,0,0
2022,Spanish Grand Prix,MSC,NOR,4.804,12.0,2.2439999999999998,24.42307692307692,1,109.062,89.048,0,0
2022,Spanish Grand Prix,MSC,RIC,1.638,22.0,3.923000000000002,6.42307692307692,0,106.912,87.447,1,1
2022,Spanish Grand Prix,STR,SAI,0.047,4.0,6.560000000000002,22.42307692307692,1,109.072,88.761,0,0
2022,Spanish Grand Prix,STR,HAM,7.101,5.0,18.159000000000006,9.42307692307692,0,110.401,89.823,0,0
2022,Spanish Grand Prix,STR,GAS,18.013,20.0,0.1740000000000066,-24.576923076923077,0,107.64,87.376,0,0
2022,Spanish Grand Prix,LAT,SAI,1.123,2.0,7.220999999999989,24.42307692307692,0,109.125,89.8,0,0
2022,Spanish Grand Prix,LAT,HAM,10.935,4.0,7.247,-4.576923076923077,0,108.12,89.601,0,0
2022,Spanish Grand Prix,LAT,GAS,21.844,7.0,6.861999999999995,-13.57692307692308,0,108.759,87.246,0,0
2022,Spanish Grand Prix,MAG,HAM,20.741,1.0,20.741,35.42307692307692,0,113.833,87.537,0,0
2022,Spanish Grand Prix,MAG,LAT,2.596,3.0,9.793999999999997,-7.576923076923077,0,110.257,88.569,0,0
2022,Spanish Grand Prix,ALB,LAT,1.999,11.0,3.3230000000000075,25.42307692307692,0,108.446,89.34,1,1
2022,Spanish Grand Prix,ALB,LAT,7.153,13.0,3.5430000000000064,-3.5769230769230766,0,108.293,89.46,1,0
2022,Spanish Grand Prix,ALB,MAG,12.996,16.0,3.8589999999999947,-8.57692307692308,0,109.747,88.903,0,0
2022,Spanish Grand Prix,ALB,LAT,26.204,7.0,6.837999999999994,-32.57692307692308,0,109.761,88.281,0,0
2022,Spanish Grand Prix,ZHO,STR,2.043,13.0,3.6040000000000134,26.42307692307692,0,107.447,88.415,1,1
2022,Monaco Grand Prix,VER,LEC,8.383,18.0,-1.730000000000004,-17.95,1,88.667,84.805,1,1
2022,Monaco Grand Prix,VER,SAI,1.33,,10.615000000000009,-13.25,1,91.284,84.584,0,0
2022,Monaco Grand Prix,VER,SAI,2.456,,,-7.518518518518519,0,,122.493,0,0
2022,Monaco Grand Prix,GAS,ZHO,24.733,2.0,,6.75,0,103.994,102.417,0,0
2022,Monaco Grand Prix,GAS,BOT,5.614,,24.873000000000005,-13.25,1,92.315,84.537,0,0
2022,Monaco Grand Prix,GAS,VET,2.797,8.0,,-7.518518518518519,0,133.363,112.018,0,0
2022,Monaco Grand Prix,PER,NOR,1.011,16.0,14.415000000000006,-15.95,1,92.141,85.215,1,1
2022,Monaco Grand Prix,ALO,RUS,3.226,21.0,1.6219999999999999,-20.95,0,93.462,88.168,0,0
2022,Monaco Grand Prix,ALO,NOR,3.91,8.0,,-7.518518518518519,0,140.85,116.128,0,0
2022,Monaco Grand Prix,LEC,PER,0.925,,25.632999999999996,-17.95,1,90.149,88.156,1,0
2022,Monaco Grand Prix,LEC,SAI,6.466,21.0,-0.9909999999999997,-12.25,1,92.589,88.779,0,0
2022,Monaco Grand Prix,LEC,VER,5.259,8.0,,-7.518518518518519,0,,120.7,0,0
2022,Monaco Grand Prix,STR,ZHO,12.347,1.0,12.34699999999998,-0.95,1,136.634,108.179,0,0
2022,Monaco Grand Prix,STR,GAS,4.287,1.0,,-1.95,0,108.179,103.171,0,0
2022,Monaco Grand Prix,STR,RIC,1.047,,22.408,-15.25,0,96.439,121.694,0,0
2022,Monaco Grand Prix,STR,RIC,1225.507,,,-6.518518518518519,0,103.833,84.515,1,0
2022,Monaco Grand Prix,TSU,VET,2.523,6.0,-4.804999999999993,-5.95,0,103.772,101.028,0,0
2022,Monaco Grand Prix,TSU,RIC,0.45,,21.465999999999994,-12.25,0,93.748,85.758,0,0
2022,Monaco Grand Prix,TSU,STR,4.391,6.0,,-6.518518518518519,0,101.279,84.813,0,0
2022,Monaco Grand Prix,TSU,ZHO,29.164,27.0,30.513000000000005,-25.25,0,84.996,76.055,0,0
2022,Monaco Grand Prix,ALB,LAT,16.908,16.0,20.622,-17.95,0,93.467,98.902,1,1
2022,Monaco Grand Prix,ALB,LAT,23.472,20.0,37.363,0.48148148148148096,0,93.811,83.506,0,0
2022,Monaco Grand Prix,ALB,LAT,10.117,,,1.75,0,113.564,89.773,0,0
2022,Monaco Grand Prix,ZHO,RIC,0.64,19.0,-0.5369999999999919,-18.95,0,99.451,90.576,0,0
2022,Monaco Grand Prix,ZHO,TSU,1.334,,,-6.518518518518519,1,105.544,89.024,0,0
2022,Monaco Grand Prix,RIC,TSU,13.632,13.0,17.509,-18.95,0,99.04,88.384,1,1
2022,Monaco Grand Prix,RIC,GAS,1.865,,,-7.518518518518519,0,132.868,111.415,0,0
2022,Monaco Grand Prix,OCO,HAM,16.068,,16.24499999999999,-20.95,1,97.375,88.133,1,0
2022,Monaco Grand Prix,OCO,HAM,3.771,8.0,,-7.518518518518519,0,135.492,114.222,0,0
2022,Monaco Grand Prix,NOR,ALO,9.404,17.0,16.015,-16.95,1,91.205,86.302,1,1
2022,Monaco Grand Prix,NOR,LEC,14.192,1.0,11.542000000000002,-13.25,0,89.262,82.845,0,0
2022,Monaco Grand Prix,NOR,RUS,6.984,,,-7.518518518518519,1,142.602,117.922,0,0
2022,Monaco Grand Prix,NOR,RUS,25.268,21.0,18.537999999999997,-28.51851851851852,1,83.556,78.574,0,0
2022,Monaco Grand Prix,HAM,OCO,4.341,15.0,15.887,-14.95,1,92.152,90.246,0,0
2022,Monaco Grand Prix,HAM,ALO,12.454,,11.596999999999994,-13.25,1,89.726,82.826,0,0
2022,Monaco Grand Prix,HAM,ALO,5.857,,,-7.518518518518519,0,138.144,114.161,0,0
2022,Monaco Grand Prix,MSC,ZHO,16.419,4.0,18.162999999999997,-3.95,1,103.339,99.941,0,0
2022,Monaco Grand Prix,MSC,LAT,26.625,15.0,32.471999999999994,-8.25,0,98.024,87.542,1,1
2022,Monaco Grand Prix,VET,GAS,0.811,5.0,26.629999999999995,-5.95,1,103.35,99.811,0,0
2022,Monaco Grand Prix,VET,BOT,1.9060000000000001,,18.059999999999988,-14.25,1,91.072,83.591,0,0
2022,Monaco Grand Prix,VET,BOT,3.141,,,-7.518518518518519,0,134.142,112.446,0,0
2022,Monaco Grand Prix,SAI,VER,9.285,,20.292,-20.95,0,94.073,90.16,1,1
2022,Monaco Grand Prix,SAI,PER,3.726,8.0,,-7.518518518518519,1,,122.838,0,0
2022,Monaco Grand Prix,LAT,STR,21.154,1.0,21.153999999999996,-0.95,0,129.418,105.134,1,0
2022,Monaco Grand Prix,LAT,STR,13.938,2.0,-7.21599999999998,6.75,0,105.134,104.039,0,0
2022,Monaco Grand Prix,LAT,ALB,2.98,,19.888000000000005,3.481481481481481,0,100.1,99.08,1,1
